,Grade 7,,,,,,,,,,Grade 8,,,,,,,,,,Grade 9,,,,,,,,,,Grade 10,,,,,,,,,,,,
Student Number,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,,,
student 45,88,88,82,86,82,86,84,90,82,80,87,85,84,88,89,88,88,93,85,85,83,88,91,92,89,89,92,89,88,89,79,92,89,84,90,80,83,82,81,85,,,
student 46,93,89,88,89,88,90,88,94,90,87,82,84,87,87,85,87,86,89,84,86,86,89,85,88,83,90,86,88,87,88,96,93,92,89,92,88,84,89,88,81,,,
student 47,87,86,83,85,81,81,84,85,82,84,86,89,87,88,84,86,87,91,85,84,82,80,78,88,81,85,85,86,83,84,91,93,91,92,93,91,92,89,88,88,,,
student 48,87,89,86,86,84,85,85,87,86,86,90,84,88,87,89,91,90,93,89,96,82,92,83,88,82,87,86,89,88,88,80,91,89,83,85,84,80,86,83,88,,,
student 49,86,84,85,88,84,80,83,85,82,91,86,81,84,85,85,85,87,90,88,82,77,77,77,85,81,78,82,83,84,80,79,89,88,88,79,85,77,80,82,79,,,
student 50,85,85,86,84,82,82,82,85,82,84,83,84,83,81,77,88,81,78,83,81,77,84,76,77,75,75,78,88,78,82,79,83,79,82,78,79,84,87,86,84,,,
student 51,83,85,87,86,83,84,85,92,85,88,90,86,85,91,87,89,89,89,90,85,89,89,81,94,87,93,95,90,85,83,78,80,78,80,76,78,80,83,83,86,,,
student 52,86,83,90,91,87,86,91,91,89,87,90,89,92,91,91,92,86,94,93,91,89,93,89,90,89,92,91,90,89,82,85,90,88,883,84,84,80,85,75,82,,,
student 53,87,84,89,91,81,86,83,85,82,82,85,80,82,82,79,86,81,87,87,80,77,76,77,81,79,78,80,81,81,81,79,81,79,80,75,84,79,87,84,81,,,
student 54,91,85,87,84,84,89,86,90,89,89,82,78,82,84,83,87,83,83,80,84,78,82,80,90,83,88,81,87,80,84,88,93,86,86,88,88,85,88,86,82,,,
student 55,75,75,75,75,75,75,75,75,75,75,97,82,81,84,80,86,83,92,86,81,86,87,83,93,88,90,84,87,86,84,90,91,91,89,87,91,90,94,89,85,,,
student 56,85,86,81,84,82,86,83,91,82,82,88,84,83,88,83,83,87,89,80,85,76,81,76,86,77,76,84,80,90,81,89,92,91,89,89,92,90,95,87,93,,,
student 57,85,86,81,90,81,90,82,97,81,82,87,84,86,84,88,84,87,90,85,84,83,84,83,86,81,81,87,85,82,90,80,88,83,79,79,86,77,82,83,90,,,
student 58,84,85,88,86,82,83,90,86,81,82,85,83,82,85,84,82,81,80,80,85,76,81,76,80,77,75,78,84,80,80,92,95,93,92,92,91,87,88,89,81,,,
student 59,87,89,89,88,91,97,88,90,90,90,90,83,84,91,92,89,88,88,87,88,85,89,82,92,88,90,93,91,85,90,82,92,84,90,82,87,87,89,89,91,,,
student 60,89,87,87,87,87,85,86,92,85,86,84,78,80,82,77,83,82,79,78,80,77,79,75,78,79,81,80,80,80,82,79,81,81,80,80,80,80,80,83,87,,,
student 61,85,85,86,84,82,82,82,85,82,84,83,84,83,81,77,88,81,78,83,81,77,84,76,77,75,75,78,85,78,82,83,82,81,82,79,80,78,81,85,85,,,
student 62,85,83,87,84,82,86,90,87,84,88,85,83,82,83,78,87,83,82,87,82,78,80,79,82,75,83,78,84,78,84,80,83,80,90,78,79,78,87,85,82,,,
student 63,94,96,94,95,92,97,93,99,92,96,91,96,93,96,90,94,94,94,92,94,95,96,91,96,92,93,97,96,93,94,84,85,80,81,86,87,79,81,86,79,,,
student 64,84,85,87,90,82,86,93,85,83,84,86,78,81,85,80,84,83,81,78,81,77,80,75,81,77,78,79,79,80,80,80,81,83,79,77,79,80,84,83,82,,,
student 65,86,85,83,89,81,85,84,89,84,84,84,81,80,84,78,85,83,89,83,82,81,80,78,87,81,85,83,83,81,85,80,81,83,79,77,79,80,84,83,81,,,
student 66,86,87,90,93,88,87,86,93,89,85,87,82,84,84,86,90,82,92,91,82,83,80,83,90,88,90,81,85,85,99,81,84,79,83,81,80,80,84,86,81,,,
student 67,87,89,88,88,84,80,86,90,85,93,89,85,81,87,87,90,84,90,91,84,82,87,81,84,83,81,84,86,83,83,78,80,76,76,78,77,75,80,75,80,,,
student 68,89,75,75,75,81,78,84,77,75,75,88,86,86,82,85,86,86,90,88,86,78,83,80,87,81,76,82,83,85,81,86,89,89,87,87,94,89,88,87,77,,,
student 69,92,91,90,97,80,97,96,92,85,92,86,91,90,93,87,91,90,97,91,91,79,81,78,84,86,86,83,84,79,83,84,85,85,83,80,85,81,89,88,88,,,
student 70,85,89,88,87,81,89,87,90,83,93,88,89,90,92,90,91,92,93,93,90,90,90,89,92,90,95,90,91,90,91,92,94,91,93,88,92,91,90,91,86,,,
student 71,86,88,87,89,82,91,90,91,83,86,85,82,81,85,87,86,83,90,88,82,84,82,83,87,86,89,84,89,84,82,82,91,83,87,76,8,78,84,84,91,,,
student 72,87,85,85,85,86,82,88,88,85,84,86,85,82,82,77,83,86,87,79,84,76,78,76,86,77,82,81,85,84,82,96,95,86,92,95,96,96,92,89,81,,,
